Dataset Atlas Type Value
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.7917769940632853
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.9105546004779629
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.9378629249692378
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.7524531511358369
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8514525780206382
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8300557480363725
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.800193179657081
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8432970433167629
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8925539519782215
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8299302811703
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.858140645313523
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8646400451544173
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8874555247811733
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.9134315516085391
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.7958233761181479
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8543872809507621
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.7297357309692879
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8446684343914148
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8665733782140073
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8539867963645019
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8525865406996282
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8555349735470525
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8455032761224853
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.9048732265632313
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.9535406140251099
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.868676861354959
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8930297853910325
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.7332251791629149
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8908000588305816
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.7240361977425125
